partnername,Circle,count(*),AVG(delaydays)
Agrawal Engineering Works,"P. H. Circle, Rajkot",5,72.6
M/s. Gaurang Products Limited,"P. H. Mech. Circle, Vadodara",4,142.0
M/s. Dutron Polymer,"P. H. Circle, Bhuj",3,39.0
M/s. Mukesh Iron Foundry Pvt. Ltd.,"P .H .Circle, Himatnagar",1,208.0
M/s. Delite Pumps,"P. H. Mech. Circle, Rajkot",7,117.42857142857143
M/s. Essem Engineering Industries,"P. H. Circle, Rajkot",3,133.66666666666666
"Gacl,Vadodara","P .H .Circle, Himatnagar",6,
M/s. Riddhi Steel & Tubes.Ltd,"P. H. Mech. Circle, Ahmedabad",32,13.78125
M/s. Mukesh Iron Foundry Pvt. Ltd.,"P. H. Circle, Bhavnagar",5,116.75
M/s. Balson Polyplast Pvt. Ltd. Rajkot,,33,143.96969696969697
M/s. Mukesh Iron Foundry Pvt. Ltd.,"P. H. Circle, Surat",3,135.33333333333334
M/s. Krunal Engineering Co.,"P. H. Circle, Vadodara",7,450.75
M/s. JDS Casting Pvt. Ltd.,"P .H .Circle, Himatnagar",10,52.8
GODAVARI PIPES PVT. LTD.,,3,87.66666666666667
M/S.G M Dalui And Sons Pvt.Ltd.,"P. H. Circle, Vadodara",10,
M/s. Balson Polyplast Pvt. Ltd. Rajkot,"P. H. Circle, Nadiad",4,0.0
Agrawal Engineering Works,"P. H. Circle, Bhuj",16,224.6875
"Mbh Pump(Gujrat)Pvt. Ltd., Ahemdabad","P. H. Mech. Circle, Ahmedabad",5,39.8
M/s. R.G. Industries,"P. H. Circle, Porbandar",6,97.0
M/s. Dutron Polymer,"P. H. Circle, Palanpur",46,47.23913043478261
M/s. Sachdeva Metal works,"P. H. Circle, Rajkot",7,62.333333333333336
M/s. Duke Pipes Pvt. Ltd.,"P. H. Mech. Circle, Vadodara",5,79.6
M/s. Elembica Services,"P. H. Mech. Circle, Ahmedabad",115,18.660550458715598
M/s. JDS Casting Pvt. Ltd.,"P. H. Circle, Nadiad",12,51.333333333333336
M/s. Dutron Polymer,"P. H. Circle, Nadiad",34,73.26470588235294
M/s. JDS Casting Pvt. Ltd.,"P. H. Circle, Palanpur",6,150.0
M/s. JDS Casting Pvt. Ltd.,"P. H. Circle, Junagadh",12,287.1666666666667
M/s. Balson Polyplast Pvt. Ltd. Rajkot,"P. H. Circle, Junagadh",4,178.75
M/s. Balson Polyplast Pvt. Ltd. Rajkot,"P. H. Circle, Porbandar",21,132.33333333333334
M/S. La-Gajjar Machineries Pvt. Ltd.,"P. H. Mech. Circle, Ahmedabad",134,45.543103448275865
M/s. Dutron Polymer,"P. H. Circle, Ahmedabad",7,15.857142857142858
M/s. JDS Casting Pvt. Ltd.,"P. H. Circle, Surat",13,153.76923076923077
M/S. La-Gajjar Machineries Pvt. Ltd.,"P. H. Circle, Bhuj",7,222.0
M/s. Silver Engineering Company,"P. H. Circle, Bhuj",4,124.66666666666667
M/s. Bir Industries,"P. H. Circle, Bhuj",3,255.0
"Gacl,Vadodara","P. H. Circle, Anjar",3,
M/s. Atlas Cables and Accessories Pvt. Ltd.,"P. H. Mech. Circle, Ahmedabad",67,48.8125
M/s. Topland Pumps Pvt Ltd.,"P. H. Mech. Circle, Ahmedabad",51,27.209302325581394
M/s. Bikaner Engineering Works,"P. H. Circle, Vadodara",2,
M/s. Essem Engineering Industries,"P. H. Circle, Anjar",4,184.75
"Gacl,Vadodara","P. H. Circle, Godhara",26,119.0
M/s Super Filteration Systems (I) Pvt. Ltd.,"P. H. Mech. Circle, Ahmedabad",1,20.0
M/s. Krunal Engineering Co.,"P. H. Circle, Godhara",16,42.25
M/S. La-Gajjar Machineries Pvt. Ltd.,"P. H. Mech. Circle, Junagadh",6,88.5
"Mbh Pump(Gujrat)Pvt. Ltd., Ahemdabad","P. H. Mech. Circle, Junagadh",2,86.0
